,entity_label,entity_text
0,DATE,Wednesday
0,DATE,2020
0,DATE,December 2020
0,DATE,October 2020
0,DATE,2021
0,DATE,2021
0,DATE,Christmas
0,DATE,just days
0,DATE,winter
0,DATE,October 2021
0,DATE,nearly two years
0,DATE,one year
0,DATE,the holidays
0,DATE,Christmas
0,DATE,Christmas
0,DATE,Christmas
0,DATE,the holiday season
0,DATE,this week
0,DATE,Christmas
0,DATE,last month
0,DATE,Christmas
0,DATE,Christmas
0,DATE,the second straight year
0,DATE,earlier this month
0,DATE,between 18 and 45
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,almost a year
0,DATE,March 2020
0,DATE,nearly two years ago
0,DATE,Tuesday
0,DATE,weekly
0,DATE,March of 2020
0,DATE,the holiday season
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,three-day
0,DATE,"Dec. 21, 2021"
0,DATE,the same day
0,DATE,the last month
0,DATE,"Wednesday, Dec. 8, 2021"
0,DATE,days
0,DATE,Friday
0,DATE,"Friday, Dec. 17, 2021"
0,DATE,Saturday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,Tuesday
0,DATE,this week
0,DATE,Tuesday
0,DATE,Tuesday
0,DATE,2020
0,DATE,December 2020
0,DATE,October 2020
0,DATE,"Dec. 16, 2020"
0,DATE,March 2020
0,DATE,last month
0,DATE,2021
0,DATE,2021
0,DATE,two-year-olds
0,DATE,Tuesday
0,DATE,last month
0,DATE,two years old
0,DATE,the end of January
0,DATE,the last two years
0,DATE,up to five years old
0,DATE,earlier this month
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the past several months
0,DATE,"Dec. 21, 2021"
0,DATE,the past year
0,DATE,their holiday season
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,daily
0,DATE,"Dec. 21, 2021"
0,DATE,January
0,DATE,pre-Christmas
0,DATE,two weeks
0,DATE,"Dec. 16, 2021"
0,DATE,Tuesday
0,DATE,January 2021
0,DATE,a month
0,DATE,Tuesday
0,DATE,this week
0,DATE,"Nov. 5, 2021"
0,DATE,the week ending Dec. 18
0,DATE,the week before
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the month
0,DATE,Tuesday
0,DATE,November
0,DATE,the past couple of months
0,DATE,the end of this week
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,November
0,DATE,winter
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,"Dec. 17, 2021"
0,DATE,Tuesday
0,DATE,"Monday, Dec. 20, 2021"
0,DATE,this winter
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the week
0,DATE,the prior week
0,DATE,season
0,DATE,Tuesday
0,DATE,winter
0,DATE,"December 22, 2020"
0,DATE,January
0,DATE,February
0,DATE,earlier this month
0,DATE,January
0,DATE,each week
0,DATE,"November 23, 2021"
0,DATE,winter
0,DATE,the coming days
0,DATE,under 5
0,DATE,two years
0,DATE,Monday
0,DATE,three days ago
0,DATE,Sunday
0,DATE,Monday
0,DATE,Wednesday
0,DATE,Sunday
0,DATE,Monday
0,DATE,50s
0,DATE,less than a month ago
0,DATE,Nov. 26
0,DATE,Monday
0,DATE,2021
0,DATE,2021
0,DATE,September
0,DATE,almost five months
0,DATE,today
0,DATE,today
0,DATE,tomorrow
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,2008
0,DATE,Phoenix Sunday
0,DATE,2016
0,DATE,"July 1, 2016"
0,DATE,March
0,DATE,"Friday, Nov. 5, 2021"
0,DATE,March
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Monday
0,DATE,Three days earlier
0,DATE,Friday
0,DATE,"Wednesday, Jan. 20, 2021"
0,DATE,Sunday
0,DATE,Wednesday
0,DATE,"January 25, 2018"
0,DATE,Sunday
0,DATE,Monday
0,DATE,today
0,DATE,just a few months ago
0,DATE,daily
0,DATE,"December 14, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Friday
0,DATE,"Monday, Nov. 29, 2021"
0,DATE,Tuesday
0,DATE,September
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,daily
0,DATE,Tuesday
0,DATE,"Dec. 17, 2021"
0,DATE,tomorrow
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,daily
0,DATE,daily
0,DATE,"Dec. 14, 2021"
0,DATE,today
0,DATE,just a few months ago
0,DATE,Monday
0,DATE,"Dec. 20, 2021"
0,DATE,Sunday
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Sunday
0,DATE,November
0,DATE,Monday
0,DATE,Earlier this year
0,DATE,Dec. 2
0,DATE,the coming weeks
0,DATE,2021
0,DATE,2021
0,DATE,"Oct. 6, 2021"
0,DATE,"Nov. 29, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,13-year
0,DATE,September
0,DATE,Nov. 22
0,DATE,this month
0,DATE,OCTOBER
0,DATE,"April 26, 2019"
0,DATE,Nov. 17
0,DATE,Oct. 1
0,DATE,December
0,DATE,November
0,DATE,2020
0,DATE,last month
0,DATE,"Monday, Nov. 29, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,today
0,DATE,Sunday
0,DATE,Friday
0,DATE,last day
0,DATE,"February 3, 2021"
0,DATE,more than a decade
0,DATE,2009
0,DATE,2021
0,DATE,2021
0,DATE,Saturday
0,DATE,Saturday
0,DATE,Wednesday
0,DATE,Sunday
0,DATE,Sunday
0,DATE,weekly
0,DATE,"December 14, 2021"
0,DATE,earlier this week
0,DATE,Sunday
0,DATE,Friday
0,DATE,seven-day
0,DATE,the previous week
0,DATE,daily
0,DATE,"Tuesday, May 11, 2021"
0,DATE,Friday
0,DATE,2021
0,DATE,2021
0,DATE,today
0,DATE,earlier this week
0,DATE,last week
0,DATE,"this March 3, 2021"
0,DATE,"Monday, Jan. 20, 2020"
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,Sunday
0,DATE,two days
0,DATE,Saturday
0,DATE,the past two weeks
0,DATE,this month
0,DATE,Sunday
0,DATE,the next three to five weeks
0,DATE,"Monday, Dec. 20"
0,DATE,mid-January
0,DATE,nearly a year
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,daily
0,DATE,Dec. 16
0,DATE,daily
0,DATE,Dec. 15
0,DATE,Prior to this month
0,DATE,daily
0,DATE,"Jan. 7, 2021"
0,DATE,Friday
0,DATE,Thursday
0,DATE,62-year-old
0,DATE,Thursday
0,DATE,weekly
0,DATE,last month
0,DATE,Thursday
0,DATE,Dec. 16
0,DATE,last month
0,DATE,this month
0,DATE,"December 18, 2019"
0,DATE,2021
0,DATE,2021
0,DATE,the summer
0,DATE,Friday
0,DATE,"Tuesday, Nov. 16, 2021"
0,DATE,the days
0,DATE,July 4
0,DATE,Thursday
0,DATE,"Dec. 9, 2021"
0,DATE,Friday
0,DATE,2021
0,DATE,2021
0,DATE,a little over a month
0,DATE,September 20-October 31
0,DATE,"Wednesday, Dec. 8, 2021"
0,DATE,2 TO 5 YEAR
0,DATE,Friday
0,DATE,seven-day
0,DATE,DC - NOVEMBER 04
0,DATE,last spring
0,DATE,earlier this year
0,DATE,December of last year
0,DATE,March
0,DATE,"September 2, 2021"
0,DATE,2020
0,DATE,October
0,DATE,all day
0,DATE,10-year-old
0,DATE,earlier this year
0,DATE,2021
0,DATE,2021
0,DATE,this week
0,DATE,last week
0,DATE,the first day
0,DATE,September
0,DATE,"7, Tuesday, Nov. 9, 2021"
0,DATE,5 to 18 years of age
0,DATE,seven-day
0,DATE,November
0,DATE,the holiday season
0,DATE,seven-day
0,DATE,mid-November
0,DATE,at least six months
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,"Dec. 2, 2021"
0,DATE,the years
0,DATE,2021
0,DATE,Friday
0,DATE,"Dec. 17, 2021"
0,DATE,"Dec. 2, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,"Dec. 16, 2021"
0,DATE,9
0,DATE,"Wednesday, Nov. 3, 2021"
0,DATE,last month
0,DATE,Nov. 5
0,DATE,weekly
0,DATE,Jan. 4
0,DATE,six months
0,DATE,Dec. 15
0,DATE,Nov. 5
0,DATE,Dec. 6
0,DATE,Jan. 4
0,DATE,"this July 31, 2020"
0,DATE,Dec. 15
0,DATE,Nov. 29
0,DATE,The next day
0,DATE,Dec. 15
0,DATE,Dec. 15
0,DATE,Sept. 9
0,DATE,Jan. 18
0,DATE,Jan. 4
0,DATE,Dec. 7
0,DATE,a week
0,DATE,2021
0,DATE,2021
0,DATE,earlier this year
0,DATE,"Monday, Dec. 6, 2021"
0,DATE,the next few months
0,DATE,at least late February
0,DATE,early March
0,DATE,"March 16, 2022"
0,DATE,September
0,DATE,"March 4, 2020"
0,DATE,"Oct. 28, 2021"
0,DATE,recent weeks
0,DATE,August
0,DATE,September
0,DATE,the spring
0,DATE,2020
0,DATE,Christmas
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,Thursday
0,DATE,almost a year
0,DATE,Wednesday
0,DATE,the coming days
0,DATE,"Monday Dec. 6, 2021"
0,DATE,Tuesday
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,1102 and 1871
0,DATE,’ 42
0,DATE,1302
0,DATE,"Sunday, July 11, 2021"
0,DATE,three-day
0,DATE,Last month
0,DATE,last week
0,DATE,"Monday, Nov. 29, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,weeklong
0,DATE,Wednesday
0,DATE,Friday
0,DATE,"Tuesday, Dec. 14, 2021"
0,DATE,Tuesday
0,DATE,2021
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,2007
0,DATE,"April 15, 2008"
0,DATE,a day
0,DATE,"Sept. 13, 2021"
0,DATE,August
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,today
0,DATE,"April 28, 2021"
0,DATE,November
0,DATE,Dec. 15
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,"Thursday, July 22, 2021"
0,DATE,2021
0,DATE,this year
0,DATE,2020
0,DATE,2021 SURPASS 2020'S TOLL
0,DATE,between Jan. 1 and Nov. 30
0,DATE,"Nov. 3, 2021"
0,DATE,June
0,DATE,the past 15 months
0,DATE,"Feb. 4, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,last week
0,DATE,all week
0,DATE,the week
0,DATE,just a few days later
0,DATE,"Wednesday, Aug. 25, 2021"
0,DATE,the last week and a half
0,DATE,all year
0,DATE,this summer
0,DATE,"Nov. 1, 2021"
0,DATE,October
0,DATE,2022
0,DATE,this month
0,DATE,last month
0,DATE,last week
0,DATE,"Monday, Oct. 4, 2021"
0,DATE,last week
0,DATE,next year
0,DATE,2022
0,DATE,2016
0,DATE,night 2022
0,DATE,a tumultuous first year
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,the next several months
0,DATE,July 2021
0,DATE,the six months or so
0,DATE,Dec. 1
0,DATE,yearly
0,DATE,this past July
0,DATE,2021
0,DATE,2021
0,DATE,Friday
0,DATE,"Sept. 14, 2021"
0,DATE,six months
0,DATE,"March 23, 2021"
0,DATE,winter
0,DATE,"Thursday, Oct. 28, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,Sunday
0,DATE,September
0,DATE,"Feb. 5, 2021"
0,DATE,eight years ago
0,DATE,2021
0,DATE,2013
0,DATE,2021
0,DATE,2020
0,DATE,the end of the year
0,DATE,Sunday
0,DATE,2021
0,DATE,2021
0,DATE,last month
0,DATE,2021
0,DATE,"September 21, 2021"
0,DATE,"Nov. 4, 2021"
0,DATE,"November 29, 2021"
0,DATE,Earlier this year
0,DATE,2021
0,DATE,2021
0,DATE,winter
0,DATE,daily
0,DATE,Thursday
0,DATE,Saturday
0,DATE,"September 24, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Friday
0,DATE,"March 8, 2013"
0,DATE,"this Oct. 5, 2021"
0,DATE,"December 10, 2021"
0,DATE,"March 1, 2021"
0,DATE,the next year and a half
0,DATE,14-month
0,DATE,2021
0,DATE,2021
0,DATE,every day
0,DATE,"Monday, Oct. 4, 2021"
0,DATE,March of 2020
0,DATE,weekend
0,DATE,last month
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,last month
0,DATE,"Jan. 4, 2022"
0,DATE,weekly
0,DATE,"Tuesday, Nov. 17, 2020"
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,September
0,DATE,"Wednesday, May 25, 2016"
0,DATE,Nov. 4
0,DATE,Nov. 29
0,DATE,Nov. 30
0,DATE,Dec. 2
0,DATE,"this March 17, 2021"
0,DATE,Monday
0,DATE,Thursday
0,DATE,Nov. 5
0,DATE,Dec. 1
0,DATE,Dec. 9
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,Wednesday
0,DATE,last month
0,DATE,Wednesday
0,DATE,"Dec. 8, 2021"
0,DATE,the past few months
0,DATE,Tuesday
0,DATE,last week
0,DATE,"Thursday, Sept. 23, 2021"
0,DATE,last summer
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,"Wednesday, Aug. 18, 2021"
0,DATE,Tuesday
0,DATE,3-year
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,September
0,DATE,November
0,DATE,"December 3, 2021"
0,DATE,last week
0,DATE,Sept. 9
0,DATE,Jan. 18
0,DATE,Jan. 4
0,DATE,"Friday, Nov. 5, 2021"
0,DATE,more than 18 months
0,DATE,Last month
0,DATE,Tuesday
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,the last year or so
0,DATE,July 
0,DATE,"15, 2021"
0,DATE,months
0,DATE,"Thursday, Nov. 4, 2021"
0,DATE,this winter
0,DATE,"Tuesday, Nov. 30, 2021"
0,DATE,March 2020
0,DATE,this winter
0,DATE,the holidays
0,DATE,2021
0,DATE,2021
0,DATE,Friday
0,DATE,daily
0,DATE,"December 03, 2021"
0,DATE,Last month
0,DATE,Friday
0,DATE,"November 15, 2021"
0,DATE,Last month
0,DATE,daily
0,DATE,"December 03, 2021"
0,DATE,October
0,DATE,2021
0,DATE,2021
0,DATE,"Oct. 7, 2021"
0,DATE,"Oct. 14, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,November
0,DATE,Dec. 3
0,DATE,recent weeks
0,DATE,"Oct. 14, 2021"
0,DATE,the weeks ahead this winter
0,DATE,the days
0,DATE,weeks
0,DATE,Thursday
0,DATE,the summer
0,DATE,daily
0,DATE,"Dec. 2, 2021"
0,DATE,Thursday
0,DATE,today
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,Thursday
0,DATE,day
0,DATE,today
0,DATE,Thursday
0,DATE,Dec. 13
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,"December 2, 2021"
0,DATE,Thursday
0,DATE,winter
0,DATE,"December 1, 2021"
0,DATE,Wednesday
0,DATE,October
0,DATE,"Wednesday, Dec. 1, 2021"
0,DATE,weeks
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,"Dec. 2, 2021"
0,DATE,"Dec. 2, 2021"
0,DATE,Thursday
0,DATE,"Dec. 2, 2021"
0,DATE,July 9
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,the winter months
0,DATE,daily
0,DATE,Thursday
0,DATE,Thursday
0,DATE,daily
0,DATE,"Dec. 2, 2021"
0,DATE,March 18
0,DATE,Jan. 18
0,DATE,last August
0,DATE,Last month
0,DATE,"Nov. 23, 2021"
0,DATE,this week
0,DATE,last week
0,DATE,Monday
0,DATE,daily
0,DATE,this week
0,DATE,Thursday
0,DATE,Thursday
0,DATE,daily
0,DATE,2021
0,DATE,2021
0,DATE,winter
0,DATE,winter
0,DATE,Wednesday
0,DATE,Thursday
0,DATE,one day
0,DATE,"Oct. 5, 2021"
0,DATE,seven days
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the year
0,DATE,"Monday, Nov. 29, 2021"
0,DATE,earlier this year
0,DATE,Six months ago
0,DATE,Tuesday
0,DATE,Monday
0,DATE,Thursday
0,DATE,2021
0,DATE,2021
0,DATE,nearly three quarters
0,DATE,"Wednesday, Feb. 3, 2021"
0,DATE,February
0,DATE,2021
0,DATE,2021
0,DATE,winter
0,DATE,Thursday
0,DATE,one day
0,DATE,no more than three days
0,DATE,September
0,DATE,three to five days
0,DATE,seven days
0,DATE,November
0,DATE,Thanksgiving
0,DATE,a quarter
0,DATE,October
0,DATE,the most recent month
0,DATE,the last 12 months
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,September
0,DATE,Dec. 20
0,DATE,Monday
0,DATE,9
0,DATE,"Wednesday, Nov. 3, 2021"
0,DATE,October
0,DATE,16-year-old
0,DATE,decades-old
0,DATE,"December 21, 2020"
0,DATE,the day
0,DATE,2021-22 school year
0,DATE,2021
0,DATE,2021
0,DATE,today
0,DATE,Monday
0,DATE,Nov. 5
0,DATE,"this Oct. 5, 2021"
0,DATE,days
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,"Nov. 29, 2021"
0,DATE,Wednesday
0,DATE,"Nov. 29, 2021"
0,DATE,days
0,DATE,"Tuesday, Nov. 23, 2021"
0,DATE,Jan. 4
0,DATE,Nov. 12
0,DATE,Nov. 13
0,DATE,earlier this month
0,DATE,Dec. 8 to Jan. 4
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,Sunday
0,DATE,"May 26, 2021"
0,DATE,two or three weeks
0,DATE,"Nov. 26, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,two weeks
0,DATE,Saturday
0,DATE,two weeks
0,DATE,Tuesday
0,DATE,the next 2 weeks
0,DATE,Saturday
0,DATE,between 3-7 days
0,DATE,14 days
0,DATE,Monday
0,DATE,November 29
0,DATE,2021
0,DATE,2021
0,DATE,Friday
0,DATE,September
0,DATE,Dec. 13
0,DATE,Jan. 12
0,DATE,March
0,DATE,"Friday, Sept. 3, 2021"
0,DATE,2005
0,DATE,"this Feb. 26, 2013"
0,DATE,Friday
0,DATE,"Friday, Nov. 5, 2021"
0,DATE,more than 18 months
0,DATE,last year
0,DATE,2021
0,DATE,2021
0,DATE,Saturday
0,DATE,Christmas
0,DATE,Saturday
0,DATE,"June 14, 2021"
0,DATE,"Monday, Nov. 15, 2021"
0,DATE,Christmas
0,DATE,"Friday, Nov. 12, 2021"
0,DATE,Friday
0,DATE,Monday
0,DATE,2021
0,DATE,2021
0,DATE,Friday
0,DATE,Saturday
0,DATE,October
0,DATE,October 2020
0,DATE,a few months
0,DATE,October
0,DATE,2021
0,DATE,2021
0,DATE,2020
0,DATE,"Monday, Oct. 4, 2021"
0,DATE,Friday
0,DATE,Earlier this week
0,DATE,"Tuesday, March 10, 2020"
0,DATE,Today
0,DATE,"Thursday, Nov. 4, 2021"
0,DATE,last year
0,DATE,daily
0,DATE,"November 12, 2021"
0,DATE,Saturday
0,DATE,Saturday
0,DATE,2021
0,DATE,2021
0,DATE,daily
0,DATE,Friday
0,DATE,the last two weeks
0,DATE,2020
0,DATE,September of this year
0,DATE,daily
0,DATE,daily
0,DATE,earlier this year
0,DATE,this summer
0,DATE,"Thursday, Sept. 16, 2021"
0,DATE,"Thursday, Oct. 28, 2021"
0,DATE,August
0,DATE,2021
0,DATE,2021
0,DATE,2020
0,DATE,last year
0,DATE,the day
0,DATE,The day before
0,DATE,2017
0,DATE,March of 2020
0,DATE,"Sunday, Nov. 21, 2021"
0,DATE,Friday
0,DATE,"this Aug. 31, 2021"
0,DATE,The summer
0,DATE,March 2021
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,last week
0,DATE,last week
0,DATE,Saturday
0,DATE,November
0,DATE,weekly
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Nov. 22
0,DATE,September
0,DATE,Monday
0,DATE,Nov. 22
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,the busy holiday season
0,DATE,Nov. 22
0,DATE,September
0,DATE,today
0,DATE,Monday
0,DATE,Thanksgiving
0,DATE,Earlier this month
0,DATE,Monday
0,DATE,Nov. 22
0,DATE,Thanksgiving
0,DATE,this year
0,DATE,single-year
0,DATE,2005
0,DATE,the holiday
0,DATE,2020
0,DATE,Thanksgiving
0,DATE,The busiest days
0,DATE,Tuesday
0,DATE,Wednesday
0,DATE,Thanksgiving
0,DATE,Sunday
0,DATE,this year
0,DATE,Thanksgiving
0,DATE,this holiday
0,DATE,2021
0,DATE,2021
0,DATE,Thanksgiving
0,DATE,Thanksgiving
0,DATE,Thanksgiving
0,DATE,the first day
0,DATE,"September 13, 2021"
0,DATE,Thanksgiving
0,DATE,its 20th month
0,DATE,second holiday season
0,DATE,Thanksgiving
0,DATE,Thanksgiving
0,DATE,2021
0,DATE,Thanksgiving
0,DATE,Thanksgiving
0,DATE,Thanksgiving
0,DATE,this year
0,DATE,"Thursday, Nov. 4, 2021"
0,DATE,Thanksgiving
0,DATE,Sunday
0,DATE,Thanksgiving
0,DATE,Thanksgiving holiday
0,DATE,This Week
0,DATE,Sunday
0,DATE,Thanksgiving
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,Friday
0,DATE,next week
0,DATE,August
0,DATE,Friday
0,DATE,August
0,DATE,this week
0,DATE,2021
0,DATE,2021
0,DATE,"September 22, 2021"
0,DATE,"this Oct. 5, 2021"
0,DATE,September
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,2020
0,DATE,"Wednesday, Sept. 23, 2020"
0,DATE,Dec. 8
0,DATE,Dec. 15
0,DATE,April 2020
0,DATE,last month
0,DATE,"July 20, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,earlier this week
0,DATE,"November 15, 2021"
0,DATE,Monday
0,DATE,"Friday, Nov. 12, 2021"
0,DATE,Earlier this week
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,September
0,DATE,one-quarter
0,DATE,September
0,DATE,two months ago
0,DATE,Wednesday
0,DATE,last month
0,DATE,September
0,DATE,July 2020
0,DATE,May 2021
0,DATE,the holidays
0,DATE,Six months ago
0,DATE,May and June 2021
0,DATE,six months ago
0,DATE,September
0,DATE,55 favor-41
0,DATE,43 favor-51
0,DATE,"November 14-17, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,2021
0,DATE,180 days
0,DATE,Sept. 9
0,DATE,weekly
0,DATE,Sept. 9
0,DATE,"Monday, Sept. 27, 2021"
0,DATE,Nov. 4
0,DATE,Jan. 4
0,DATE,weekly
0,DATE,Nov. 6
0,DATE,Nov. 12
0,DATE,Nov. 18
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,Thursday
0,DATE,November
0,DATE,Thursday
0,DATE,earlier this month
0,DATE,36 days
0,DATE,November
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,November
0,DATE,"Wednesday, Oct. 20, 2021"
0,DATE,three-day
0,DATE,Wednesday
0,DATE,November
0,DATE,2021
0,DATE,2021
0,DATE,"Tuesday, Jan. 26, 2021"
0,DATE,"this March 2, 2021"
0,DATE,Jan. 4
0,DATE,"November 3, 2021"
0,DATE,earlier this month
0,DATE,Dec. 8 to Jan. 4
0,DATE,2021
0,DATE,2021
0,DATE,weekly
0,DATE,earlier this month
0,DATE,"Jan. 4, 2022"
0,DATE,"Saturday, Nov. 6, 2021"
0,DATE,this week
0,DATE,Nov. 4
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,Jan. 4
0,DATE,weekly
0,DATE,Today
0,DATE,early December
0,DATE,earlier this month
0,DATE,Nov. 16
0,DATE,20 day
0,DATE,as early as December
0,DATE,20-day
0,DATE,the end of the 20 days
0,DATE,September
0,DATE,weekly
0,DATE,"June 23, 2021"
0,DATE,last week
0,DATE,Last week
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Monday
0,DATE,January
0,DATE,"Nov. 15, 2021"
0,DATE,recent months
0,DATE,August
0,DATE,90-day
0,DATE,"Monday, Nov. 15, 2021"
0,DATE,December 2019
0,DATE,"this Feb. 3, 2021"
0,DATE,2022
0,DATE,August
0,DATE,2022
0,DATE,February
0,DATE,2021
0,DATE,2021
0,DATE,Jan. 4
0,DATE,weekly
0,DATE,"November 01, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,"Jan. 16, 2018"
0,DATE,the winter months
0,DATE,earlier this month
0,DATE,just months
0,DATE,Sept. 9
0,DATE,last week
0,DATE,June
0,DATE,the day
0,DATE,2021
0,DATE,2021
0,DATE,four-month
0,DATE,the past century
0,DATE,August 2020
0,DATE,130-day
0,DATE,November 2020
0,DATE,last month
0,DATE,Friday
0,DATE,mid August
0,DATE,late November
0,DATE,2021
0,DATE,2021
0,DATE,the winter season
0,DATE,weekly
0,DATE,Sunday
0,DATE,"July 15, 2021"
0,DATE,"Nov. 3, 2021"
0,DATE,months
0,DATE,2021
0,DATE,2021
0,DATE,Saturday
