entity_label,entity_text
DATE,Friday
DATE,seven-day
DATE,the previous week
DATE,daily
DATE,"Tuesday, May 11, 2021"
DATE,Friday
DATE,2021
DATE,2021
DATE,today
DATE,earlier this week
DATE,last week
DATE,"this March 3, 2021"
DATE,"Monday, Jan. 20, 2020"
DATE,2021
DATE,2021
DATE,Friday
DATE,today
DATE,the winter months
DATE,Thursday
DATE,daily
DATE,Friday
DATE,5 years old
DATE,Dec. 16
DATE,daily
DATE,Dec. 15
DATE,Prior to this month
DATE,daily
DATE,"Jan. 7, 2021"
DATE,"Monday, March 22, 2021"
DATE,Tuesday
DATE,2021
DATE,2021
DATE,Saturday
DATE,Thursday
DATE,"Dec. 9, 2021"
DATE,Friday
DATE,the summer
DATE,"Dec. 2, 2020"
DATE,2021
DATE,2021
DATE,a little over a month
DATE,September 20-October 31
DATE,"Wednesday, Dec. 8, 2021"
DATE,2 TO 5 YEAR
DATE,Friday
DATE,seven-day
DATE,DC - NOVEMBER 04
DATE,last spring
DATE,earlier this year
DATE,December of last year
DATE,March
DATE,"September 2, 2021"
DATE,2020
DATE,October
DATE,all day
DATE,10-year-old
DATE,earlier this year
DATE,2021
DATE,2021
DATE,this week
DATE,last week
DATE,the first day
DATE,September
DATE,"7, Tuesday, Nov. 9, 2021"
DATE,5 to 18 years of age
DATE,seven-day
DATE,November
DATE,the holiday season
DATE,seven-day
DATE,mid-November
DATE,at least six months
DATE,2021
DATE,2021
DATE,October
DATE,last December
DATE,under age 35
DATE,mid-November
DATE,December 1
DATE,the last few months
DATE,the spring
DATE,this month
DATE,Last month
DATE,mid-March
DATE,year three
DATE,"December 11-14, 2021"
DATE,2021
DATE,2021
DATE,earlier this year
DATE,"Monday, Dec. 6, 2021"
DATE,the next few months
DATE,at least late February
DATE,early March
DATE,"March 16, 2022"
DATE,September
DATE,"March 4, 2020"
DATE,"Oct. 28, 2021"
DATE,recent weeks
DATE,August
DATE,September
DATE,the spring
DATE,2020
DATE,Christmas
DATE,Wednesday
DATE,2021
DATE,2021
DATE,Sunday
DATE,Thursday
DATE,almost a year
DATE,Wednesday
DATE,the coming days
DATE,"Monday Dec. 6, 2021"
DATE,Tuesday
DATE,2021
DATE,2021
DATE,Wednesday
DATE,1102 and 1871
DATE,’ 42
DATE,1302
DATE,"Sunday, July 11, 2021"
DATE,three-day
DATE,Last month
DATE,last week
DATE,"Monday, Nov. 29, 2021"
DATE,2021
DATE,2021
DATE,"Jan. 7, 2021"
DATE,his first year
DATE,"Dec. 9, 2021"
DATE,2021
DATE,2021
DATE,"Wednesday, Nov. 17, 2021"
DATE,decades
DATE,1990
DATE,Last month
DATE,"Tuesday, Nov. 30, 2021"
DATE,2021
DATE,2021
DATE,December 31
DATE,another year
DATE,2020
DATE,an additional year
DATE,"Oct. 2, 2021"
DATE,nearly another year
DATE,Friday
DATE,Tuesday
DATE,less than a week
DATE,August 2020
DATE,"December 31, 2022"
DATE,2021
DATE,2021
DATE,Tuesday
DATE,2007
DATE,"April 15, 2008"
DATE,a day
DATE,"Sept. 13, 2021"
DATE,August
DATE,2021
DATE,2021
DATE,Tuesday
DATE,today
DATE,"April 28, 2021"
DATE,November
DATE,Dec. 15
DATE,2021
DATE,2021
DATE,Tuesday
DATE,"Thursday, July 22, 2021"
DATE,2021
DATE,this year
DATE,2020
DATE,2021 SURPASS 2020'S TOLL
DATE,between Jan. 1 and Nov. 30
DATE,"Nov. 3, 2021"
DATE,June
DATE,the past 15 months
DATE,"Feb. 4, 2021"
DATE,2021
DATE,2021
DATE,Monday
DATE,Thanksgiving
DATE,Monday
DATE,earlier this year
DATE,August
DATE,Wednesday
DATE,Jan. 15
DATE,Friday
DATE,"Monday, July 19, 2021"
DATE,Thanksgiving
DATE,2021
DATE,2021
DATE,last week
DATE,all week
DATE,the week
DATE,just a few days later
DATE,"Wednesday, Aug. 25, 2021"
DATE,the last week and a half
DATE,all year
DATE,this summer
DATE,"Nov. 1, 2021"
DATE,October
DATE,2022
DATE,this month
DATE,last month
DATE,last week
DATE,"Monday, Oct. 4, 2021"
DATE,last week
DATE,next year
DATE,2022
DATE,2016
DATE,night 2022
DATE,a tumultuous first year
DATE,2021
DATE,2021
DATE,Sunday
DATE,the next several months
DATE,July 2021
DATE,the six months or so
DATE,Dec. 1
DATE,yearly
DATE,this past July
DATE,2021
DATE,2021
DATE,Sunday
DATE,last week
DATE,last week
DATE,the age of 98
DATE,"October 6, 2021"
DATE,"October 6, 2021"
DATE,"this May 1, 2019"
DATE,2021
DATE,2021
DATE,Friday
DATE,"Sept. 14, 2021"
DATE,six months
DATE,"March 23, 2021"
DATE,winter
DATE,"Thursday, Oct. 28, 2021"
DATE,2021
DATE,2021
DATE,last month
DATE,2021
DATE,"September 21, 2021"
DATE,"Nov. 4, 2021"
DATE,"November 29, 2021"
DATE,Earlier this year
DATE,2021
DATE,2021
DATE,Thursday
DATE,last month
DATE,"Jan. 4, 2022"
DATE,weekly
DATE,"Tuesday, Nov. 17, 2020"
DATE,2021
DATE,2021
DATE,Thursday
DATE,September
DATE,"Wednesday, May 25, 2016"
DATE,Nov. 4
DATE,Nov. 29
DATE,Nov. 30
DATE,Dec. 2
DATE,"this March 17, 2021"
DATE,Monday
DATE,Thursday
DATE,Nov. 5
DATE,Dec. 1
DATE,Dec. 9
DATE,2021
DATE,2021
DATE,Wednesday
DATE,Wednesday
DATE,last month
DATE,Wednesday
DATE,"Dec. 8, 2021"
DATE,the past few months
DATE,Tuesday
DATE,last week
DATE,"Thursday, Sept. 23, 2021"
DATE,last summer
DATE,last week
DATE,2021
DATE,2021
DATE,Tuesday
DATE,September
DATE,November
DATE,"December 3, 2021"
DATE,last week
DATE,Sept. 9
DATE,Jan. 18
DATE,Jan. 4
DATE,"Friday, Nov. 5, 2021"
DATE,more than 18 months
DATE,Last month
DATE,Tuesday
DATE,2021
DATE,2021
DATE,Sunday
DATE,the last year or so
DATE,July 
DATE,"15, 2021"
DATE,months
DATE,"Thursday, Nov. 4, 2021"
DATE,this winter
DATE,"Tuesday, Nov. 30, 2021"
DATE,March 2020
DATE,this winter
DATE,the holidays
DATE,2021
DATE,2021
DATE,December 5
DATE,Friday
DATE,Last May
DATE,"November 3, 2021"
DATE,Friday
DATE,yesterday
DATE,October
DATE,2021
DATE,2021
DATE,Friday
DATE,daily
DATE,"December 03, 2021"
DATE,Last month
DATE,Friday
DATE,"November 15, 2021"
DATE,Last month
DATE,daily
DATE,"December 03, 2021"
DATE,October
DATE,2021
DATE,2021
DATE,November
DATE,Dec. 3
DATE,recent weeks
DATE,"Oct. 14, 2021"
DATE,the weeks ahead this winter
DATE,the days
DATE,weeks
DATE,Thursday
DATE,the summer
DATE,daily
DATE,"Dec. 2, 2021"
DATE,Thursday
DATE,today
DATE,2021
DATE,2021
DATE,Thursday
DATE,the next 100 days
DATE,last month
DATE,up to 55 years
DATE,108 days
DATE,55 years
DATE,September
DATE,age 16
DATE,August
DATE,last month
DATE,2076
DATE,Thursday
DATE,2021
DATE,2021
DATE,Thursday
DATE,"December 2, 2021"
DATE,Thursday
DATE,winter
DATE,"December 1, 2021"
DATE,Wednesday
DATE,October
DATE,"Wednesday, Dec. 1, 2021"
DATE,weeks
DATE,2021
DATE,2021
DATE,Thursday
DATE,"Dec. 2, 2021"
DATE,"Dec. 2, 2021"
DATE,Thursday
DATE,"Dec. 2, 2021"
DATE,July 9
DATE,2021
DATE,2021
DATE,Thursday
DATE,the winter months
DATE,daily
DATE,Thursday
DATE,Thursday
DATE,daily
DATE,"Dec. 2, 2021"
DATE,March 18
DATE,Jan. 18
DATE,last August
DATE,Last month
DATE,"Nov. 23, 2021"
DATE,this week
DATE,last week
DATE,Monday
DATE,daily
DATE,this week
DATE,Thursday
DATE,Thursday
DATE,daily
DATE,2021
DATE,2021
DATE,winter
DATE,winter
DATE,Wednesday
DATE,Thursday
DATE,one day
DATE,"Oct. 5, 2021"
DATE,seven days
DATE,2021
DATE,2021
DATE,Tuesday
DATE,"Friday, Nov. 19, 2021"
DATE,DC - AUGUST
DATE,"August 25, 2021"
DATE,2020
DATE,Thanksgiving
DATE,earlier this year
DATE,2021
DATE,2021
DATE,Tuesday
DATE,the year
DATE,"Monday, Nov. 29, 2021"
DATE,earlier this year
DATE,Six months ago
DATE,Tuesday
DATE,Monday
DATE,Thursday
DATE,2021
DATE,2021
DATE,nearly three quarters
DATE,"Wednesday, Feb. 3, 2021"
DATE,February
DATE,2021
DATE,2021
DATE,winter
DATE,Thursday
DATE,one day
DATE,no more than three days
DATE,September
DATE,three to five days
DATE,seven days
DATE,November
DATE,Thanksgiving
DATE,a quarter
DATE,October
DATE,the most recent month
DATE,the last 12 months
DATE,2021
DATE,2021
DATE,Tuesday
DATE,Tuesday
DATE,several months
DATE,this week
DATE,Tuesday
DATE,2021
DATE,2021
DATE,Monday
DATE,this winter
DATE,Monday
DATE,just days
DATE,last week
DATE,Monday
DATE,every single day
DATE,today
DATE,the winter months
DATE,Last week
DATE,Monday
DATE,the weekend
DATE,2021
DATE,2021
DATE,Friday
DATE,Saturday
DATE,October
DATE,October 2020
DATE,a few months
DATE,October
DATE,2021
DATE,2021
DATE,2020
DATE,"Monday, Oct. 4, 2021"
DATE,Friday
DATE,Earlier this week
DATE,"Tuesday, March 10, 2020"
DATE,Today
DATE,"Thursday, Nov. 4, 2021"
DATE,last year
DATE,daily
DATE,"November 12, 2021"
DATE,Saturday
DATE,Saturday
DATE,2021
DATE,2021
DATE,November 28
DATE,20-year
DATE,Nov. 22
DATE,September
DATE,Monday
DATE,2020
DATE,Monday
DATE,Nov. 4
DATE,Jan. 4
DATE,weekly
DATE,Nov. 12
DATE,Tuesday
DATE,Jan. 1 of this year
DATE,last year's
DATE,2021
DATE,2021
DATE,Monday
DATE,last week
DATE,last week
DATE,Saturday
DATE,November
DATE,weekly
DATE,2021
DATE,2021
DATE,Thanksgiving
DATE,Thanksgiving
DATE,Thanksgiving
DATE,the first day
DATE,"September 13, 2021"
DATE,Thanksgiving
DATE,its 20th month
DATE,second holiday season
DATE,Thanksgiving
DATE,Thanksgiving
DATE,2021
DATE,Thanksgiving
DATE,Thanksgiving
DATE,Thanksgiving
DATE,this year
DATE,"Thursday, Nov. 4, 2021"
DATE,Thanksgiving
DATE,Sunday
DATE,Thanksgiving
DATE,Thanksgiving holiday
DATE,This Week
DATE,Sunday
DATE,Thanksgiving
DATE,last week
DATE,2021
DATE,2021
DATE,Thursday
DATE,2020
DATE,"Wednesday, Sept. 23, 2020"
DATE,Dec. 8
DATE,Dec. 15
DATE,April 2020
DATE,last month
DATE,"July 20, 2021"
DATE,2021
DATE,2021
DATE,Thursday
DATE,Thursday
DATE,November
DATE,Thursday
DATE,earlier this month
DATE,36 days
DATE,November
DATE,2021
DATE,2021
DATE,weekly
DATE,earlier this month
DATE,"Jan. 4, 2022"
DATE,"Saturday, Nov. 6, 2021"
DATE,this week
DATE,Nov. 4
DATE,2021
DATE,2021
DATE,Tuesday
DATE,July 2020
DATE,Monday
DATE,"this Saturday, Sept. 19, 2020"
DATE,earlier this year
DATE,2021
DATE,2021
DATE,Jan. 4
DATE,weekly
DATE,"November 01, 2021"
DATE,2021
DATE,2021
DATE,Monday
DATE,"Jan. 16, 2018"
DATE,the winter months
DATE,earlier this month
DATE,just months
DATE,Sept. 9
DATE,last week
DATE,June
DATE,the day
DATE,2021
DATE,2021
DATE,the winter season
DATE,weekly
DATE,Sunday
DATE,"July 15, 2021"
DATE,"Nov. 3, 2021"
DATE,months
DATE,2021
DATE,2021
DATE,Saturday
DATE,Friday
DATE,1381A
DATE,"January 6, 2021"
DATE,DC - NOVEMBER 03
DATE,"Wednesday, Nov. 3, 2021"
DATE,90
DATE,2004
DATE,"October 6, 2021"
DATE,"October 6, 2021"
DATE,2015
DATE,"this Nov. 30, 2015"
DATE,two weeks
DATE,the past 13 months
DATE,June 7
DATE,September
DATE,2021
DATE,2021
DATE,last week
DATE,the summer
DATE,this week
DATE,"December 12, 2018"
DATE,the fall and winter
DATE,the holidays
DATE,October of last year
DATE,this year
DATE,"April 12, 2018"
DATE,three straight weeks
DATE,three straight weeks
DATE,last week
DATE,2021
DATE,2021
DATE,5 year old
DATE,ONE YEAR
DATE,February
DATE,every single day
DATE,today
DATE,2019
DATE,the years
DATE,October 2012
DATE,Annual
DATE,Thanksgiving Day Parade
DATE,2002
DATE,1995
DATE,January 1995
DATE,present day
DATE,mid-January 1995
DATE,some years later
DATE,2021
DATE,2010
DATE,that year
DATE,each year
DATE,1967
DATE,Fiscal Year 2015
DATE,annual
DATE,early December
DATE,2021
DATE,2021
DATE,Monday
DATE,the 1970s
DATE,Monday
DATE,1978
DATE,1169
DATE,"April 12, 2018"
DATE,"June 1, 2022"
DATE,"Jan. 1, 2022"
DATE,2021
DATE,2021
DATE,Tuesday
DATE,the end of November
DATE,"September 10, 2021"
DATE,"some cases, years"
DATE,"this Dec. 15, 2016"
DATE,Thursday
DATE,Nov. 28
DATE,Dec. 28
DATE,2021
DATE,2021
DATE,Monday
DATE,December
DATE,Jan. 4
DATE,the holiday season
DATE,September
DATE,seven months ago
DATE,2021
DATE,2021
DATE,Monday
DATE,late September
DATE,early October
DATE,"Thursday, May 13, 2021"
DATE,the past year and a half
DATE,June
DATE,the summer
DATE,July
DATE,"Thursday, July 22, 2021"
DATE,weekly
DATE,"Thursday, Sept. 30, 2021"
DATE,2021
DATE,2021
DATE,Friday
DATE,May
DATE,Aug. 13
DATE,"this Dec. 17, 2019"
DATE,Thursday
DATE,2020
DATE,36-DAY
DATE,Aug. 17
DATE,"this Feb. 11, 2021"
DATE,"April 26, 2021"
DATE,Monday
DATE,last Wednesday
DATE,2021
DATE,2021
DATE,Monday
DATE,Monday
DATE,just days
DATE,11 years old
DATE,Today
DATE,between the ages of 5
DATE,every school year
DATE,Monday
DATE,Nov. 2
DATE,the coming weeks
DATE,2021
DATE,2021
DATE,2021
DATE,November 2020
DATE,"Monday, Feb. 10, 2020"
DATE,nearly two years
DATE,"May 6, 2019"
DATE,August
DATE,this fall
DATE,2021
DATE,2021
DATE,next week
DATE,Friday
DATE,"Jan. 4, 2022"
DATE,Friday
DATE,October
DATE,"Nov. 5, 2021"
DATE,Earlier this week
DATE,"Thursday, Oct. 7, 2021"
DATE,2021
DATE,2021
DATE,Friday
DATE,"Sunday, Oct. 24, 2021"
DATE,Jan. 4
DATE,Thursday
DATE,Friday
DATE,late Tuesday
DATE,"May 11, 2021"
DATE,days
DATE,nights
DATE,Friday
DATE,months
DATE,weekly
DATE,2021
DATE,2021
DATE,Jan. 4
DATE,weekly
DATE,Thursday
DATE,September
DATE,"Wednesday, Aug. 25, 2021"
DATE,nearly 20 years
DATE,Friday
DATE,"Monday, March 15, 2021"
DATE,September
DATE,months
DATE,2021
DATE,2021
DATE,two days
DATE,Christmas
DATE,the holidays
DATE,three weeks
DATE,next week
DATE,the week
DATE,last week
DATE,Wednesday
DATE,2021
DATE,2021
DATE,last week
DATE,Tuesday
DATE,Tuesday
DATE,Sunday
DATE,less than two weeks
DATE,just days
DATE,Three days
DATE,Oct. 19
DATE,"Oct. 16, 2021"
DATE,Later that day
DATE,2021
DATE,2021
DATE,Thursday
DATE,"April 28, 2021"
DATE,"this Oct. 5, 2021"
DATE,Tuesday
DATE,9
DATE,"Wednesday, Nov. 3, 2021"
DATE,Last week
DATE,12-15 years old
DATE,2021
DATE,2021
DATE,Thursday
DATE,the last 90 days
DATE,three to five days
DATE,"Thursday, Nov. 4, 2021"
DATE,up to 12 weeks
DATE,"Nov. 4, 2021"
DATE,July
DATE,2021
DATE,2021
DATE,2022
DATE,Thursday
DATE,Jan. 4
DATE,Thursday
DATE,weekly
DATE,Nov. 15
DATE,"April 19, 2021"
DATE,Thursday
DATE,Dec. 8 to Jan. 4
DATE,2021
DATE,2021
DATE,Thursday
DATE,Thursday
DATE,Jan. 4
DATE,weekly
DATE,"April 2, 2021"
DATE,less than two years
DATE,today
DATE,50 years
DATE,weekly
DATE,2021
DATE,2021
DATE,Thursday
DATE,Thursday
DATE,weekly
DATE,Jan. 4
DATE,recent days
DATE,Oct. 29
DATE,"July 20, 2021"
DATE,"July 20, 2021"
DATE,"July 20, 2021"
DATE,"about October 20, 2021"
DATE,"the October 20, 2021"
DATE,Three days
DATE,Thursday
DATE,2021
DATE,2021
DATE,Tuesday
DATE,"October 25, 2021"
DATE,"October 28, 2021"
DATE,last week
DATE,the next ten years
DATE,"Monday, Oct. 25, 2021"
DATE,2021
DATE,2021
DATE,Wednesday
DATE,Wednesday
DATE,September
DATE,the coming days
DATE,"Thursday, June 10, 2021"
DATE,"Thursday, Oct. 14, 2021"
DATE,Wednesday
DATE,20 day
DATE,20-day
DATE,the end of the 20 days
DATE,December
DATE,"Thursday, Oct. 28, 2021"
DATE,September
DATE,weekly
DATE,2021
DATE,2021
DATE,last week
DATE,Nov. 2
DATE,Nov. 28
DATE,Dec. 15
DATE,Monday
DATE,"Thursday, Aug. 12, 2021"
DATE,"Oct. 30, 2020"
DATE,Last year
DATE,this year
DATE,Last week
DATE,2021
DATE,2021
DATE,36 days
DATE,the school year
DATE,August 11
DATE,their first day
DATE,7
DATE,"Aug. 18, 2021"
DATE,July
DATE,2021
DATE,2021
DATE,Sept. 9
DATE,"Saturday, Aug. 28, 2021"
DATE,Dec. 8
DATE,"Thursday, Oct. 28, 2021"
DATE,later this week
DATE,late Friday
DATE,Nov. 8
DATE,2021
DATE,2021
DATE,Sunday
DATE,Wednesday
DATE,Sunday
DATE,"Wednesday, Thursday, Friday and Saturday"
DATE,today
DATE,Wednesday
DATE,four days
DATE,today
DATE,Tuesday
DATE,ten-day
DATE,daily
DATE,"Tuesday, July 20, 2021"
DATE,Last Monday
DATE,a day
DATE,less than two weeks
DATE,just days
DATE,Oct. 19
DATE,"Oct. 16, 2021"
DATE,Three days earlier
DATE,Later that day
DATE,2021
DATE,2021
DATE,Sunday
DATE,"October 22, 2021"
DATE,this week
DATE,earlier this year
DATE,this week
DATE,OCTOBER 30
DATE,"October 30, 2021"
DATE,previous years
DATE,this week
DATE,two-week-long
DATE,OCTOBER 30
DATE,"October 30, 2021"
DATE,Nov. 5
DATE,Friday
DATE,2021
DATE,2021
DATE,this week
DATE,Monday
DATE,July
DATE,1965
DATE,"this Tuesday, Aug. 10, 2021"
DATE,the first day
DATE,"October 12, 2021"
DATE,"Tuesday, May 4, 2021"
DATE,August
DATE,all day
DATE,the end of July
DATE,2021
DATE,2021
DATE,this week
DATE,Wednesday
DATE,"September 29, 2021"
DATE,the summer
DATE,Sept. 9
DATE,Dec. 8
DATE,2019
DATE,"May 15, 2020"
DATE,2021
DATE,2021
DATE,Nov. 12
DATE,Friday
DATE,Nov. 1
DATE,"April 12, 2021"
DATE,Today
DATE,weekly
DATE,days
DATE,2021
DATE,2021
DATE,Wednesday
DATE,a few weeks
DATE,"Thursday, Oct. 31, 2019"
DATE,"Wednesday, Oct. 27, 2021"
DATE,Wednesday
DATE,just weeks
DATE,"Oct. 27, 2021"
DATE,2021
DATE,2021
DATE,2021
DATE,2021
DATE,Saturday
DATE,"Monday, July 16, 2018"
DATE,Saturday
DATE,2021
DATE,2021
DATE,Friday
DATE,2020
DATE,"Monday, Oct. 18, 2021"
DATE,1992
DATE,This year
DATE,December 2022
DATE,Dec. 15 of this year
DATE,"Nov. 22, 1963"
DATE,"this Nov. 22, 1963"
DATE,55 years
DATE,two days later
DATE,1967
DATE,2021
DATE,2021
DATE,2020
DATE,Friday
DATE,Friday
DATE,the summer
DATE,September
DATE,2020
DATE,2021
DATE,2021
DATE,Friday
DATE,"January 6, 2008"
DATE,the coming days
DATE,2021
DATE,2021
DATE,Friday
DATE,last month
DATE,September
DATE,weekly
DATE,recent months
DATE,Friday
DATE,"Oct. 27, 2021"
DATE,November 8
DATE,just weeks
DATE,Thursday
DATE,2021
DATE,2021
DATE,Thursday
DATE,Thursday
DATE,"Tuesday, Jan. 10, 2017"
DATE,January 20
DATE,37 YEARS PREPARED
DATE,almost 20 years
DATE,"Tuesday, Jan. 10, 2017"
DATE,January 20
DATE,September
DATE,"Tuesday, Jan. 10, 2017"
DATE,January 20
DATE,December 8th
DATE,2021
DATE,2021
DATE,Tuesday
DATE,Dec. 1
DATE,last week
DATE,a year
DATE,"this April 15, 2021"
DATE,"Thursday, Aug. 19, 2021"
DATE,November
DATE,August
DATE,another year
DATE,2021
DATE,2021
DATE,early COVID
DATE,recent weeks
DATE,"Monday, Aug. 23, 2021"
DATE,this week
DATE,"Thursday, Sept. 9, 2021"
DATE,recent weeks
DATE,the end of last year
DATE,the beginning of this one
DATE,June 2020
DATE,September
DATE,2021
DATE,2021
DATE,Thursday
DATE,earlier this week
DATE,Thursday
DATE,Wednesday
DATE,"October 08, 2021"
DATE,February
DATE,July
DATE,August
DATE,"Wednesday, Oct. 14, 2020"
DATE,this week
DATE,Thursday
DATE,this month
DATE,2021
DATE,2021
DATE,Wednesday
DATE,the winter months
DATE,winter months
DATE,these winter months
DATE,Wednesday
DATE,Wednesday
DATE,5 to 11
DATE,weeks
DATE,decades
DATE,2021
DATE,2021
DATE,this week
DATE,this week
DATE,"Wednesday Aug. 25, 2021"
DATE,Monday
DATE,Oct. 4
DATE,all day
DATE,"Tuesday, July 27, 2021"
DATE,"Wednesday, Aug. 11, 2021"
DATE,weekly
DATE,summer
DATE,yesterday
DATE,Tuesday
DATE,2021
DATE,2021
DATE,Oct. 14
DATE,August
DATE,"May 13, 2013"
DATE,the one year anniversary
DATE,"March 17, 2021"
DATE,Oct. 14
DATE,2021
DATE,2021
DATE,more than 30 years
DATE,the last 13
DATE,the last couple of years
DATE,last week
DATE,Monday
DATE,2021
DATE,2021
DATE,Tuesday
DATE,10 years
DATE,2021
DATE,2021
DATE,Monday
DATE,daily
DATE,Saturday
DATE,Saturday
DATE,July
DATE,age 2
DATE,July
DATE,2021
DATE,2021
DATE,as early as tomorrow
DATE,Sunday
DATE,August
DATE,2 years old
DATE,the end of 2021
DATE,the next few weeks
DATE,Sunday
DATE,2021
DATE,2021
DATE,2021
DATE,Saturday
DATE,July
DATE,age 2
DATE,July
DATE,September
DATE,2021
DATE,2021
DATE,Thursday
DATE,Last month
DATE,Dec. 8
DATE,last month
DATE,this week
DATE,Earlier this month
DATE,late November
DATE,"November 22, 2021"
DATE,2021
DATE,2021
DATE,Friday
DATE,August
DATE,earlier this week
DATE,Monday
DATE,September
DATE,2021
DATE,2021
DATE,Thursday
DATE,Thursday
DATE,the past six weeks
DATE,the past two weeks
